2950.0035,3.118e-26,0.0737,0.74,0.096,#
2950.00481,2.84e-26,0.0702,0.81,0.081,#
2950.01224,3.626e-26,0.0703,0.83,0.074,#
2950.01483,1.291e-25,0.0779,0.71,0.084,#
2950.01687,5.252e-24,0.0835,0.71,0.104,#
2950.02454,9.504e-25,0.0773,0.72,0.097,#
2950.0265,6.903e-25,0.0689,0.76,0.069,#
2950.0336,2.6e-24,0.0711,0.79,0.096,#
2950.0407,1.052e-26,0.0802,0.77,0.091,#
2950.05172,1.226e-25,0.0707,0.81,0.092,#
2950.0584,7.018e-26,0.0781,0.77,0.091,#
2950.06174,1.79e-25,0.0741,0.74,0.081,#
2950.0678,2.263e-26,0.0708,0.81,0.098,#
2950.06924,1.605e-25,0.0698,0.81,0.095,#
2950.0815,5.389e-26,0.0734,0.79,0.082,#
2950.0816,2.033e-26,0.0695,0.83,0.074,#
2950.08577,1.638e-25,0.0723,0.79,0.099,#
2950.08777,7.071e-24,0.0801,0.71,0.105,#
2950.0898,1.828e-25,0.0711,0.79,0.077,#
2950.09433,1.832e-25,0.0667,0.81,0.095,#
2950.09911,1.832e-25,0.066,0.81,0.095,#
2950.10006,3.069e-26,0.0704,0.82,0.075,#
2950.1033,2.171e-26,0.0683,0.76,0.076,#
2950.10362,2.78e-26,0.0749,0.79,0.096,#
2950.10947,7.308e-26,0.0741,0.74,0.095,#
2950.1108,2.65e-25,0.0763,0.72,0.083,#
2950.1215,4.278e-26,0.076,0.78,0.083,#
2950.12883,1.766e-24,0.0718,0.77,0.092,#
2950.1528,5.74e-26,0.0787,0.77,0.091,#
2950.16346,3.078e-26,0.0704,0.81,0.081,#
2950.16468,3.406e-26,0.0718,0.8,0.083,#
2950.16818,3.7e-24,0.0724,0.71,0.091,#
2950.17098,1.671e-24,0.0796,0.71,0.096,#
2950.1745,1.187e-25,0.0718,0.77,0.078,#
2950.17713,2.542e-26,0.0816,0.77,0.102,#
2950.18278,2.105e-26,0.0726,0.76,0.098,#
2950.18569,2.092e-25,0.0774,0.72,0.084,#
2950.1907,2.083e-24,0.0715,0.78,0.093,#
2950.2168,1.314e-24,0.0679,0.76,0.082,#
2950.21801,3.773e-26,0.0706,0.81,0.075,#
2950.22026,1.709e-25,0.0737,0.74,0.081,#
2950.23527,3.078e-26,0.0696,0.83,0.075,#
2950.2394,4.173e-26,0.0794,0.77,0.091,#
2950.25628,2.145e-24,0.0844,0.77,0.104,#
2950.26735,3.485e-26,0.0714,0.8,0.083,#
2950.26799,4.772e-25,0.0711,0.8,0.09,#
2950.26882,3.277e-26,0.0706,0.81,0.082,#
2950.28341,1.142e-26,0.0755,0.78,0.084,#
2950.2839,9.326e-25,0.0684,0.76,0.067,#
2950.2929,4.79e-26,0.0678,0.76,0.087,#
2950.3184,2.277e-26,0.0801,0.77,0.092,#
2950.31945,3.426e-26,0.0708,0.81,0.082,#
2950.32211,3.495e-26,0.0711,0.8,0.083,#
2950.32357,6.503e-25,0.05,0.72,0.098,#
2950.3323,2.638e-26,0.0707,0.83,0.074,#
2950.33599,4.585e-26,0.0707,0.81,0.076,#
2950.33667,4.083e-25,0.05,0.73,0.099,#
2950.34154,2.055e-26,0.0825,0.77,0.102,#
2950.3479,3.379e-25,0.0703,0.83,0.074,#
